단계,유형,type,단계_순서,힌트내용
1,C,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,C,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,C,유사문제1,3,2점 슛은 1개에 2점이에요. 2점 슛이 [RED: x]개이므로 2와 [RED: x]를 곱해보세요.
1,C,유사문제1,4,"3점 슛으로 얻은 점수는 3×2, 2점 슛으로 얻은 점수는 2[RED: x]예요. 두 점수를 더하면 총점 28과 같아요. 이를 이용하여 식을 만들어보세요."
1,C,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,D,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,D,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,D,본문제,3,볼펜은 한 자루에 800원이에요. 볼펜이 [RED: x]자루이므로 800과 [RED: x]를 곱해보세요.
1,D,본문제,4,"볼펜의 가격은 800[RED: x], 필통의 가격은 2000이에요. 두 가격을 더하면 전체 가격 9200과 같아요. 이를 이용하여 식을 만들어보세요."
1,D,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,D,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,D,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,D,유사문제1,3,연필은 한 자루에 700원이에요. 연필이 [RED: x]자루이므로 700과 [RED: x]를 곱해보세요.
1,D,유사문제1,4,"연필의 가격은 700[RED: x], 필통의 가격은 2000이에요. 두 가격을 더하면 전체 가격 9000과 같아요. 이를 이용하여 식을 만들어보세요."
1,D,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,E,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,E,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,E,본문제,3,"소와 닭을 합하면 15마리이고, 소가 [RED: x]마리예요. 전체 15마리에서 소의 수 [RED: x]를 빼보세요."
1,E,본문제,4,"소의 다리 수는 4[RED: x], 닭의 다리 수는 2(15-[RED: x])예요. 소와 닭의 다리 수를 더하면 전체 다리 수 44와 같아요. 이를 이용하여 식을 만들어보세요."
1,E,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
1,E,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
1,E,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
1,E,유사문제1,3,"양과 오리를 합하면 18마리이고, 양이 [RED: x]마리예요. 전체 18마리에서 양의 수 [RED: x]를 빼보세요."
1,E,유사문제1,4,"양의 다리 수는 4[RED: x], 오리의 다리 수는 2(18-[RED: x])예요. 양과 오리의 다리 수를 더하면 전체 다리 수 54와 같아요. 이를 이용하여 식을 만들어보세요."
1,E,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,A,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,A,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,A,본문제,3,"형이 동생에게 [RED: x]장의 우표를 주므로, 형의 우표에서는 [RED: x]를 빼고 동생의 우표에는 [RED: x]를 더해보세요."
2,A,본문제,4,"동생이 가진 우표는 12+[RED: x], 형이 가진 우표는 16-[RED: x]장이에요. 동생이 가진 우표 수는 형이 가진 우표 수의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
2,A,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,A,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,A,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,A,유사문제1,3,"누나가 동생에게 [RED: x]개의 구슬을 주므로, 누나의 구슬에서는 [RED: x]를 빼고 동생의 구슬에는 [RED: x]를 더해보세요."
2,A,유사문제1,4,"동생이 가진 구슬은 8+[RED: x], 누나가 가진 구슬은 20-[RED: x]개예요. 동생이 가진 구슬 수는 누나가 가진 구슬 수의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
2,A,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,B,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,B,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,B,본문제,3,지금부터 [RED: x]년 후에는 어머니와 아들의 나이가 모두 [RED: x]살만큼 늘어나요. 현재 나이에 [RED: x]를 각각 더해보세요.
2,B,본문제,4,"[RED: x]년 후 어머니의 나이는 40+[RED: x], 아들의 나이는 8+[RED: x]살이에요. 어머니의 나이는 아들의 나이의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
2,B,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,B,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,B,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,B,유사문제1,3,지금부터 [RED: x]년 후에는 아버지와 딸의 나이가 모두 [RED: x]살만큼 늘어나요. 현재 나이에 [RED: x]를 각각 더해보세요.
2,B,유사문제1,4,"[RED: x]년 후 아버지의 나이는 45+[RED: x], 딸의 나이는 9+[RED: x]살이에요. 아버지의 나이는 딸의 나이의 4배와 같아요. 이를 이용하여 식을 만들어보세요."
2,B,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,C,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,C,본문제,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 두 자리 자연수 1개예요. 하지만 두 자리 자연수는 십의 자리 숫자와 일의 자리 숫자 2개로 이루어져 있어요. 일의 자리 숫자는 8이라고 알려주었으므로, 모르는 십의 자리 숫자를 [RED: x]로 정해보세요."
2,C,본문제,3,두 자리 자연수는 ‘십의 자리 숫자×10 + 일의 자리 숫자’로 나타내요. 십의 자리 숫자가 [RED: x]이고 일의 자리 숫자가 8인 두 자리 자연수를 식으로 나타내보세요.
2,C,본문제,4,두 자리 자연수 10[RED: x]+8의 십의 자리 숫자와 일의 자리 숫자의 합은 [RED: x]+8이에요. 두 자리 자연수 10[RED: x]+8은 [RED: x]+8의 4배와 같아요. 이를 이용하여 식을 만들어보세요.
2,C,본문제,6,"5단계에서 구한 [RED: x]의 값 4는 십의 자리 숫자예요. 일의 자리 숫자는 8이므로, 두 자리 자연수를 만들어보세요."
2,C,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,C,유사문제1,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 두 자리 자연수 1개예요. 하지만 두 자리 자연수는 십의 자리 숫자와 일의 자리 숫자 2개로 이루어져 있어요. 일의 자리 숫자는 6이라고 알려주었으므로, 모르는 십의 자리 숫자를 [RED: x]로 정해보세요."
2,C,유사문제1,3,두 자리 자연수는 ‘십의 자리 숫자×10 + 일의 자리 숫자’로 나타내요. 십의 자리 숫자가 [RED: x]이고 일의 자리 숫자가 6인 두 자리 자연수를 식으로 나타내보세요.
2,C,유사문제1,4,두 자리 자연수 10[RED: x]+6의 십의 자리 숫자와 일의 자리 숫자의 합은 [RED: x]+6이에요. 두 자리 자연수 10[RED: x]+6은 [RED: x]+6의 4배와 같아요. 이를 이용하여 식을 만들어보세요.
2,C,유사문제1,6,"5단계에서 구한 [RED: x]의 값 3은 십의 자리 숫자예요. 일의 자리 숫자는 6이므로, 두 자리 자연수를 만들어보세요."
2,D,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,D,본문제,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 연속하는 두 자연수로 2개예요. 하지만 미지수 [RED: x]는 1개만 정해야 하므로, 두 자연수 중 작은 자연수를 [RED: x]로 정해보세요."
2,D,본문제,3,연속하는 두 자연수는 1씩 차이가 나요. 작은 자연수가 [RED: x]이면 큰 자연수는 [RED: x]에 1을 더해 나타내보세요.
2,D,본문제,4,"작은 자연수는 [RED: x], 큰 자연수는 [RED: x]+1이에요. 두 자연수를 더하면 71과 같아요. 이를 이용하여 식을 만들어보세요."
2,D,본문제,6,5단계에서 구한 [RED: x]의 값 35는 작은 자연수예요. 큰 자연수는 작은 자연수보다 1만큼 크므로 35에 1을 더해보세요.
2,D,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,D,유사문제1,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 연속하는 두 자연수로 2개예요. 하지만 미지수 [RED: x]는 1개만 정해야 하므로, 두 자연수 중 작은 자연수를 [RED: x]로 정해보세요."
2,D,유사문제1,3,연속하는 두 자연수는 1씩 차이가 나요. 작은 자연수가 [RED: x]이면 큰 자연수는 [RED: x]에 1을 더해 나타내보세요.
2,D,유사문제1,4,"작은 자연수는 [RED: x], 큰 자연수는 [RED: x]+1이에요. 두 자연수를 더하면 57과 같아요. 이를 이용하여 식을 만들어보세요."
2,D,유사문제1,6,5단계에서 구한 [RED: x]의 값 28은 작은 자연수예요. 큰 자연수는 작은 자연수보다 1만큼 크므로 28에 1을 더해보세요.
2,E,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,E,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,E,본문제,3,가로는 세로보다 17 cm 더 길어요. 세로의 길이가 [RED: x] cm이므로 [RED: x]에 17을 더해보세요.
2,E,본문제,4,"세로의 길이는 [RED: x], 가로의 길이는 [RED: x]+17 cm예요. 가로와 세로의 길이를 더하면 81과 같아요. 이를 이용하여 식을 만들어보세요."
2,E,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
2,E,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
2,E,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
2,E,유사문제1,3,가로는 세로보다 12 cm 더 길어요. 세로의 길이가 [RED: x] cm이므로 [RED: x]에 12를 더해보세요.
2,E,유사문제1,4,"세로의 길이는 [RED: x], 가로의 길이는 [RED: x]+12 cm예요. 가로와 세로의 길이를 더하면 52와 같아요. 이를 이용하여 식을 만들어보세요."
2,E,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,A,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,A,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,A,본문제,3,"2점 슛은 3점 슛의 3배보다 1개 더 많아요. 3점 슛의 개수가 [RED: x]개이므로, 2점 슛의 개수는 [RED: x]의 3배에 1을 더해보세요."
3,A,본문제,4,"3점 슛 [RED: x]개의 점수는 3[RED: x], 2점 슛 (3[RED: x]+1)개의 점수는 2(3[RED: x]+1)이에요. 두 점수를 더하면 38과 같아요. 이를 이용하여 식을 만들어보세요."
3,A,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,A,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,A,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,A,유사문제1,3,"2점 슛은 3점 슛의 2배보다 2개 더 많아요. 3점 슛의 개수가 [RED: x]개이므로, 2점 슛의 개수는 [RED: x]의 2배에 2를 더해보세요."
3,A,유사문제1,4,"3점 슛 [RED: x]개의 점수는 3[RED: x], 2점 슛 (2[RED: x]+2)개의 점수는 2(2[RED: x]+2)이에요. 두 점수를 더하면 32와 같아요. 이를 이용하여 식을 만들어보세요."
3,A,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,B,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,B,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,B,본문제,3,"[RED: x]개월 동안 저금한 금액은 ‘한 달에 저금하는 금액 × [RED: x]’로 구할 수 있어요. 
형의 저금액은 10000원에 ‘3000[RED: x]’를 더해보세요. 
동생의 저금액은 3000원에 ‘2000[RED: x]’를 더해보세요."
3,B,본문제,4,"[RED: x]개월 후 형의 저금액은 10000+3000[RED: x], 동생의 저금액은 3000+2000[RED: x]원이에요. 형의 저금액은 동생의 저금액의 2배와 같아요. 이를 이용하여 식을 만들어보세요."
3,B,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,B,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,B,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,B,유사문제1,3,"[RED: x]개월 동안 저금한 금액은 ‘한 달에 저금하는 금액 × [RED: x]’로 구할 수 있어요. 
누나의 저금액은 8000원에 ‘2500[RED: x]’를 더해보세요. 
동생의 저금액은 2000원에 ‘1500[RED: x]’를 더해보세요."
3,B,유사문제1,4,"[RED: x]개월 후 누나의 저금액은 8000+2500[RED: x], 동생의 저금액은 2000+1500[RED: x]원이에요. 누나의 저금액은 동생의 저금액의 2배와 같아요. 이를 이용하여 식을 만들어보세요."
3,B,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,C,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,C,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,C,본문제,3,"아버지의 나이는 아들의 나이의 4배예요. 아들의 나이가 [RED: x]살이므로, 아버지의 나이는 4와 [RED: x]를 곱해 나타내보세요."
3,C,본문제,4,"올해 아들의 나이는 [RED: x], 아버지의 나이는 4[RED: x]살이에요. 5년 후에는 각각 [RED: x]+5, 4[RED: x]+5살이 되고, 아버지의 나이는 아들의 나이의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
3,C,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,C,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,C,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
3,C,유사문제1,3,"어머니의 나이는 딸의 나이의 4배예요. 딸의 나이가 [RED: x]살이므로, 어머니의 나이는 4와 [RED: x]를 곱해 나타내보세요."
3,C,유사문제1,4,"올해 딸의 나이는 [RED: x], 어머니의 나이는 4[RED: x]살이에요. 6년 후에는 각각 [RED: x]+6, 4[RED: x]+6살이 되고, 어머니의 나이는 딸의 나이의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
3,C,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
3,D,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,D,본문제,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 연속하는 두 홀수로 2개예요. 하지만 미지수 [RED: x]는 1개만 정해야 하므로, 두 홀수 중 작은 홀수를 [RED: x]로 정해보세요."
3,D,본문제,3,연속하는 두 홀수는 2씩 차이가 나요. 작은 홀수가 [RED: x]이면 큰 홀수는 [RED: x]에 2를 더해 나타내보세요.
3,D,본문제,4,"연속하는 두 홀수 중 작은 홀수는 [RED: x], 큰 홀수는 [RED: x]+2예요. 두 홀수를 더하면 36과 같아요. 이를 이용하여 식을 만들어보세요."
3,D,본문제,6,5단계에서 구한 [RED: x]의 값 17은 작은 홀수예요. 큰 홀수는 작은 홀수보다 2만큼 크므로 17에 2를 더해보세요.
3,D,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,D,유사문제1,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 연속하는 두 홀수로 2개예요. 하지만 미지수 [RED: x]는 1개만 정해야 하므로, 두 홀수 중 작은 홀수를 [RED: x]로 정해보세요."
3,D,유사문제1,3,연속하는 두 홀수는 2씩 차이가 나요. 작은 홀수가 [RED: x]이면 큰 홀수는 [RED: x]에 2를 더해 나타내보세요.
3,D,유사문제1,4,"연속하는 두 홀수 중 작은 홀수는 [RED: x], 큰 홀수는 [RED: x]+2예요. 두 홀수를 더하면 48과 같아요. 이를 이용하여 식을 만들어보세요."
3,D,유사문제1,6,5단계에서 구한 [RED: x]의 값 23은 작은 홀수예요. 큰 홀수는 작은 홀수보다 2만큼 크므로 23에 2를 더해보세요.
3,E,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,E,본문제,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 가로의 길이예요. 하지만 가로의 길이는 세로의 길이의 2배보다 4 cm 짧다고 주어져 있어요. 세로의 길이를 알면 이 조건을 이용해 가로의 길이를 쉽게 구할 수 있으므로, 세로의 길이를 [RED: x]로 정해보세요."
3,E,본문제,3,"가로의 길이는 세로의 길이의 2배보다 4 cm 짧아요. 세로의 길이가 [RED: x] cm이므로, 가로의 길이는 [RED: x]의 2배에서 4를 빼서 나타내보세요."
3,E,본문제,4,"직사각형의 둘레가 34 cm이므로 가로와 세로의 길이의 합은 17 cm예요. 세로의 길이는 [RED: x], 가로의 길이는 2[RED: x]-4 cm이므로, 두 길이를 더하면 17과 같아요. 이를 이용하여 식을 만들어보세요."
3,E,본문제,6,5단계에서 구한 [RED: x]의 값 7은 직사각형의 세로 길이에요. 7을 직사각형의 가로 길이를 나타내는 식 2[RED: x]-4에 넣어 계산해보세요.
3,E,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
3,E,유사문제1,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 가로의 길이예요. 하지만 가로의 길이는 세로의 길이의 2배보다 2 cm 짧다고 주어져 있어요. 세로의 길이를 알면 이 조건을 이용해 가로의 길이를 쉽게 구할 수 있으므로, 세로의 길이를 [RED: x]로 정해보세요."
3,E,유사문제1,3,"가로의 길이는 세로의 길이의 2배보다 2 cm 짧아요. 세로의 길이가 [RED: x] cm이므로, 가로의 길이는 [RED: x]의 2배에서 2를 빼서 나타내보세요."
3,E,유사문제1,4,"직사각형의 둘레가 50 cm이므로 가로와 세로의 길이의 합은 25 cm예요. 세로의 길이는 [RED: x], 가로의 길이는 2[RED: x]-2 cm이므로, 두 길이를 더하면 25와 같아요. 이를 이용하여 식을 만들어보세요."
3,E,유사문제1,6,5단계에서 구한 [RED: x]의 값 9는 직사각형의 세로 길이에요. 9를 직사각형의 가로 길이를 나타내는 식 2[RED: x]-2에 넣어 계산해보세요.
4,A,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
4,A,본문제,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 두 자리 자연수 1개예요. 하지만 두 자리 자연수는 십의 자리 숫자와 일의 자리 숫자 2개로 이루어져 있어요. 십의 자리 숫자는 3이라고 알려주었으므로, 모르는 일의 자리 숫자를 [RED: x]로 정해보세요."
4,A,본문제,3,두 자리 자연수는 ‘십의 자리 숫자×10 + 일의 자리 숫자’로 나타내요. 십의 자리 숫자가 3이고 일의 자리 숫자가 [RED: x]인 두 자리 자연수를 식으로 나타내보세요.
4,A,본문제,4,처음 두 자리 자연수는 30+[RED: x]이에요. 십의 자리 숫자와 일의 자리 숫자를 바꾸면 10[RED: x]+3이 돼요. 바꾼 수 10[RED: x]+3은 처음 수 30+[RED: x]보다 36 큰 수와 같아요. 이를 이용하여 식을 만들어보세요.
4,A,본문제,6,"5단계에서 구한 [RED: x]의 값 7은 일의 자리 숫자예요. 십의 자리 숫자는 3이므로, 처음 두 자리 자연수를 만들어보세요."
4,A,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
4,A,유사문제1,2,"이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’이 두 자리 자연수 1개예요. 하지만 두 자리 자연수는 십의 자리 숫자와 일의 자리 숫자 2개로 이루어져 있어요. 십의 자리 숫자는 4라고 알려주었으므로, 모르는 일의 자리 숫자를 [RED: x]로 정해보세요."
4,A,유사문제1,3,두 자리 자연수는 ‘십의 자리 숫자×10 + 일의 자리 숫자’로 나타내요. 십의 자리 숫자가 4이고 일의 자리 숫자가 [RED: x]인 두 자리 자연수를 식으로 나타내보세요.
4,A,유사문제1,4,처음 두 자리 자연수는 40+[RED: x]이에요. 십의 자리 숫자와 일의 자리 숫자를 바꾸면 10[RED: x]+4가 돼요. 바꾼 수 10[RED: x]+4는 처음 수 40+[RED: x]보다 27 큰 수와 같아요. 이를 이용하여 식을 만들어보세요.
4,A,유사문제1,6,"5단계에서 구한 [RED: x]의 값 7은 일의 자리 숫자예요. 십의 자리 숫자는 4이므로, 처음 두 자리 자연수를 만들어보세요."
4,B,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
4,B,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
4,B,본문제,3,가로는 처음 4 cm에서 5 cm 늘어났으므로 4+5로 구해요. 세로는 처음 6 cm에서 [RED: x] cm 늘어났으므로 6에 [RED: x]를 더해 나타내보세요. ‘직사각형의 넓이 = 가로×세로’ 공식을 이용해요.
4,B,본문제,4,"늘린 직사각형의 넓이는 9(6+[RED: x])이고, 처음 직사각형의 넓이는 24예요. 늘린 직사각형의 넓이 9(6+[RED: x])는 처음 직사각형의 넓이 24의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
4,B,본문제,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
4,B,유사문제1,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
4,B,유사문제1,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
4,B,유사문제1,3,가로는 처음 4 cm에서 2 cm 늘어났으므로 4+2로 구해요. 세로는 처음 4 cm에서 [RED: x] cm 늘어났으므로 4에 [RED: x]를 더해 나타내보세요. ‘직사각형의 넓이 = 가로×세로’ 공식을 이용해요.
4,B,유사문제1,4,"늘린 직사각형의 넓이는 6(4+[RED: x])이고, 처음 직사각형의 넓이는 16이에요. 늘린 직사각형의 넓이 6(4+[RED: x])는 처음 직사각형의 넓이 16의 3배와 같아요. 이를 이용하여 식을 만들어보세요."
4,B,유사문제1,6,5단계에서 구한 [RED: x]의 값이 바로 문제의 답이에요. 구한 값을 써보세요.
4,C,본문제,1,문제의 마지막 문장에서 무엇을 구하라고 했는지 다시 확인해보세요.
4,C,본문제,2,이 문제에서는 1단계에서 확인한 ‘구해야 하는 것’을 [RED: x]로 정해보세요.
4,C,본문제,3,"‘시간 = 거리÷속력’ 공식을 이용해요. 거리가 [RED: x] km이고 갈 때 속력이 시속 2 km이므로, 걸린 시간은 [RED: x]÷2로 구해요. 올 때 속력은 시속 3 km이므로, 걸린 시간은 [RED: x]÷3으로 구해요. 각각 분수로 나타내보세요."
4,C,본문제,4,"시속 2 km로 갈 때 걸린 시간은 [RED: x]/2, 시속 3 km로 올 때 걸린 시간은 [RED: x]/3이에요. 갈 때 걸린 시간과 올 때 걸린 시간을 더하면 5와 같아요. 이를 이용하여 식을 만들어보세요."
