단계,유형,type,문제 텍스트,1/6문제,1/6정답,1/6선택정답,2/6문제,2/6정답,3/6문제,3/6정답,4/6문제,4/6정답,5/6문제,5/6-step1문제,5/6-step1정답,step5_1_training,5/6-step2문제,5/6-step2정답,step5_2_training,5/6-step3문제,5/6-step3정답,step5_3_training,6/6문제,6/6정답,keyword
2,A,유사문제1,"누나와 동생은 구슬을 각각 20개, 8개 가지고 있다. 누나가 동생에게 몇 개의 구슬을 주면 동생이 가진 구슬 수가 누나가 가진 구슬 수의 3배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생이 누나에게 주는 구슬 개수
② 누나가 동생에게 주는 구슬 개수
③ 동생이 가진 구슬 개수
④ 누나가 가진 구슬 개수",누나가 동생에게 주는 구슬 개수,②,무엇을 x로 정했나요?,누나가 동생에게 주는 구슬 개수,"""누나가 동생에게 구슬을 x개 줄 때, 누나가 가진 구슬 개수와 동생이 가진 구슬 개수"" 를 각각 x를 사용한 식으로 표현해보자
① 누나가 가진 구슬 개수
② 동생이 가진 구슬 개수","20-x,8+x","""동생이 가진 구슬 수가 누나가 가진 구슬 수의 3배가 된다"" 를 식으로 표현해보자",8+x=3(20-x),4단계에서 세운 방정식을 풀어봅시다.,[ 8+x=3(20-x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,8+x=60-3x,"distributive,combine_like_terms","[ 8+x=60-3x ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",4x=52,"move_term,combine_like_terms",[ 4x=52 ] 이 식에서 x값을 구하면 얼마인가요?,x=13,divide_coefficient,누나가 동생에게 준 구슬은 몇 개인가요?,13개,선물
2,B,본문제,"올해 어머니의 나이는 40살이고, 아들의 나이는 8살이다. 어머니의 나이가 아들의 나이의 세 배가 되는 때는 몇 년 후인지 구하시오.","구해야하는 것은 무엇인가요?
① 어머니의 나이가 아들의 나이의 세 배가 되는데 걸린 년 수
② 어머니의 나이와 아들의 나이의 차
③ 어머니의 나이
④ 아들의 나이",어머니의 나이가 아들의 나이의 세 배가 되는데 걸린 년 수,①,무엇을 x로 정했나요?,어머니의 나이가 아들의 나이의 세 배가 되는데 걸린 년 수,"""x년 후의 어머니의 나이와 아들의 나이"" 를 각각 x를 사용한 식으로 표현해보자
① 어머니의 나이
② 아들의 나이","40+x,8+x","""어머니의 나이가 아들의 나이의 세 배가 된다"" 를 식으로 표현해보자",40+x=3(8+x),4단계에서 세운 방정식을 풀어봅시다.,[ 40+x=3(8+x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,40+x=24+3x,"distributive,combine_like_terms","[ 40+x=24+3x ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=16,"move_term,combine_like_terms",[ 2x=16 ] 이 식에서 x값을 구하면 얼마인가요?,x=8,divide_coefficient,어머니의 나이가 아들의 나이의 세 배가 되는 때는 몇 년 후인가요?,8년,나이
2,B,유사문제1,"현재 아버지의 나이는 45살이고, 딸의 나이는 9살이다. 아버지의 나이가 딸의 나이의 네 배가 되는 때는 몇 년 후인지 구하시오.","구해야하는 것은 무엇인가요?
① 딸의 나이
② 아버지의 나이
③ 아버지의 나이와 딸의 나이의 합
④ 아버지의 나이가 딸의 나이의 네 배가 되는데 걸린 년 수",아버지의 나이가 딸의 나이의 네 배가 되는데 걸린 년 수,④,무엇을 x로 정했나요?,아버지의 나이가 딸의 나이의 네 배가 되는데 걸린 년 수,"""x년 후의 아버지의 나이와 딸의 나이"" 를 각각 x를 사용한 식으로 표현해보자
① 아버지의 나이
② 딸의 나이","45+x,9+x","""아버지의 나이가 딸의 나이의 네 배가 된다"" 를 식으로 표현해보자",45+x=4(9+x),4단계에서 세운 방정식을 풀어봅시다.,[ 45+x=4(9+x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,45+x=36+4x,"distributive,combine_like_terms","[ 45+x=36+4x ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",3x=9,"move_term,combine_like_terms",[ 3x=9 ] 이 식에서 x값을 구하면 얼마인가요?,x=3,divide_coefficient,아버지의 나이가 딸의 나이의 네 배가 되는 때는 몇 년 후인가요?,3년,나이
2,C,본문제,"일의 자릿수가 8인 두 자리의 자연수가 있다. 이 자연수는 각 자릿수의 합의 4배와 같을 때, 이 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 자리 자연수의 십의 자리수
② 두 자리 자연수의 일의 자리수
③ 일의 자리가 8인 두자리 자연수
④ 자연수",일의 자리가 8인 두자리 자연수,③,무엇을 x로 정했나요?,일의 자리가 8인 두자리 자연수의 십의 자리 숫자,"""십의 자리의 수가 x, 일의 자리의 수가 8인 두 자리의 자연수"" 를 x를 사용한 식으로 표현해보자",10x+8,"""이 자연수는 각 자릿수의 합의 4배와 같다"" 를 식으로 표현해보자",10x+8=4(x+8),4단계에서 세운 방정식을 풀어봅시다.,[ 10x+8=4(x+8) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,10x+8=4x+32,"distributive,combine_like_terms","[ 10x+8=4x+32 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",6x=24,"move_term,combine_like_terms",[ 6x=24 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,이 자연수는 무엇인가요?,48,자연수
2,C,유사문제1,"일의 자릿수가 6인 두 자리의 자연수가 있다. 이 자연수는 각 자릿수의 합의 4배와 같을 때, 이 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 일의 자리가 6인 두자리 자연수
② 두 자리 자연수의 일의 자리수
③ 두 자리 자연수의 십의 자리수
④ 자연수",일의 자리가 6인 두자리 자연수,①,무엇을 x로 정했나요?,일의 자리가 6인 두자리 자연수의 십의 자리 숫자,"""십의 자리의 수가 x, 일의 자리의 수가 6인 두 자리의 자연수"" 를 x를 사용한 식으로 표현해보자",10x+6,"""이 자연수는 각 자릿수의 합의 4배와 같다"" 를 식으로 표현해보자",10x+6=4(x+6),4단계에서 세운 방정식을 풀어봅시다.,[ 10x+6=4(x+6) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,10x+6=4x+24,"distributive,combine_like_terms","[ 10x+6=4x+24 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",6x=18,"move_term,combine_like_terms",[ 6x=18 ] 이 식에서 x값을 구하면 얼마인가요?,x=3,divide_coefficient,이 자연수는 무엇인가요?,36,자연수
2,D,본문제,"연속하는 두 자연수의 합이 71일 때, 두 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 자연수
② 연속하는 두 자연수
③ 연속하는 두 자연수의 합
④ 연속하는 두 자연수의 차",연속하는 두 자연수,②,무엇을 x로 정했나요?,연속하는 두 자연수 중 작은 자연수,"""연속하는 두 자연수 중 작은 자연수가 x 일때, 큰 자연수"" 를 x를 사용한 식으로 표현해보자",x+1,"""연속하는 두 자연수의 합이 71이다"" 를 식으로 표현해보자",x+x+1=71,4단계에서 세운 방정식을 풀어봅시다.,"[ x+x+1=71 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=70,"move_term,combine_like_terms",[ 2x=70 ] 이 식에서 x값을 구하면 얼마인가요?,x=35,divide_coefficient,skip,skip,skip,두 자연수는 무엇인가요?,"35, 36",연속
2,D,유사문제1,"연속하는 두 자연수의 합이 57일 때, 두 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 연속하는 두 자연수의 합
② 연속하는 두 자연수의 차
③ 연속하는 두 자연수
④ 자연수",연속하는 두 자연수,③,무엇을 x로 정했나요?,연속하는 두 자연수 중 작은 자연수,"""연속하는 두 자연수 중 작은 자연수가 x 일때, 큰 자연수"" 를 x를 사용한 식으로 표현해보자",x+1,"""연속하는 두 자연수의 합이 57이다"" 를 식으로 표현해보자",x+x+1=57,4단계에서 세운 방정식을 풀어봅시다.,"[ x+x+1=57 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=56,"move_term,combine_like_terms",[ 2x=56 ] 이 식에서 x값을 구하면 얼마인가요?,x=28,divide_coefficient,skip,skip,skip,두 자연수는 무엇인가요?,"28, 29",연속
2,E,본문제,"가로의 길이가 세로의 길이보다 17cm 더 긴 직사각형이 있다. 이 직사각형의 둘레의 길이가 162cm일 때, 이 직사각형의 세로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 둘레의 길이
② 직사각형의 가로의 길이
③ 직사각형의 세로의 길이
④ 직사각형의 넓이",직사각형의 세로의 길이,③,무엇을 x로 정했나요?,직사각형의 세로의 길이,"""가로의 길이가 세로(x)의 길이보다 17cm 더 길때, 가로의 길이"" 를 x를 사용한 식으로 표현해보자",x+17,"""직사각형의 둘레의 길이가 162cm이다"" 를 식으로 표현해보자",2(x+x+17)=162,4단계에서 세운 방정식을 풀어봅시다.,[ 2(x+x+17)=162 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,4x+34=162,"distributive,combine_like_terms",[ 4x=128 ] 이 식에서 x값을 구하면 얼마인가요?,x=32,divide_coefficient,skip,skip,skip,직사각형의 세로의 길이는 몇 cm인가요?,32cm,도형
2,E,유사문제1,"가로의 길이가 세로의 길이보다 12cm 더 긴 직사각형이 있다. 이 직사각형의 둘레의 길이가 104cm일 때, 이 직사각형의 세로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 넓이
② 직사각형의 둘레의 길이
③ 직사각형의 가로의 길이
④ 직사각형의 세로의 길이",직사각형의 세로의 길이,④,무엇을 x로 정했나요?,직사각형의 세로의 길이,"""가로의 길이가 세로(x)의 길이보다 12cm 더 길때, 가로의 길이"" 를 x를 사용한 식으로 표현해보자",x+12,"""직사각형의 둘레의 길이가 104cm이다"" 를 식으로 표현해보자",2(x+x+12)=104,4단계에서 세운 방정식을 풀어봅시다.,[ 2(x+x+12)=104 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,4x+24=104,"distributive,combine_like_terms",[ 4x=80 ] 이 식에서 x값을 구하면 얼마인가요?,x=20,divide_coefficient,skip,skip,skip,직사각형의 세로의 길이는 몇 cm인가요?,20cm,도형
3,A,본문제,수민이는 농구 시합에서 2점 슛을 3점 슛의 3배보다 1개 더 많이 넣어 총 38점을 득점하였다. 수민이가 넣은 3점 슛은 몇 개인지 구하시오.,"구해야하는 것은 무엇인가요?
① 2점 슛의 개수
② 3점 슛의 개수
③ 전체 슛의 개수
④ 총 득점",3점 슛의 개수,②,무엇을 x로 정했나요?,3점 슛의 개수,"""2점 슛을 3점 슛(x)의 3배보다 1개 더 많이 넣었다"" 를 이용하여 2점 슛의 개수를 x를 사용한 식으로 표현해보자",3x+1,"""총 38점을 득점하였다"" 를 식으로 표현해보자",3x+2(3x+1)=38,4단계에서 세운 방정식을 풀어봅시다.,[ 3x+2(3x+1)=38 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,9x+2=38,"distributive,combine_like_terms",[ 9x=36 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,skip,skip,skip,수민이가 넣은 3점 슛은 몇 개인가요?,4개,농구
3,A,유사문제1,서윤이는 농구 시합에서 2점 슛을 3점 슛의 2배보다 2개 더 많이 넣어 총 32점을 득점하였다. 서윤이가 넣은 3점 슛은 몇 개인지 구하시오.,"구해야하는 것은 무엇인가요?
① 전체 슛의 개수
② 총 득점
③ 2점 슛의 개수
④ 3점 슛의 개수",3점 슛의 개수,④,무엇을 x로 정했나요?,3점 슛의 개수,"""2점 슛을 3점 슛(x)의 2배보다 2개 더 많이 넣었다"" 를 이용하여 2점 슛의 개수를 x를 사용한 식으로 표현해보자",2x+2,"""총 32점을 득점하였다"" 를 식으로 표현해보자",3x+2(2x+2)=32,4단계에서 세운 방정식을 풀어봅시다.,[ 3x+2(2x+2)=32 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,7x+4=32,"distributive,combine_like_terms",[ 7x=28 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,skip,skip,skip,서윤이가 넣은 3점슛의 개수는 몇 개인가요?,4개,농구
3,B,본문제,"현재 형의 저금통에는 10000원, 동생의 저금통에는 3000원이 들어 있다. 앞으로 매달 형은 3000원씩, 동생은 2000원씩 저축을 한다고 할 때, 몇 개월 후에 형의 저금액이 동생의 저금액의 2배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수
② 형의 저금액과 동생의 저금액의 합
③ 동생의 저금액
④ 형의 저금액",형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,①,무엇을 x로 정했나요?,형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,"""x개월 후 형의 저금액과 동생의 저금액"" 을 각각 x를 사용한 식으로 표현해보자
① 형의 저금액
② 동생의 저금액","10000+3000x,3000+2000x","""형의 저금액이 동생의 저금액의 2배가 된다"" 를 식으로 표현해 보자",10000+3000x=2(3000+2000x),4단계에서 세운 방정식을 풀어봅시다.,[ 10000+3000x=2(3000+2000x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,10000+3000x=6000+4000x,"distributive,combine_like_terms",[ 1000x=4000 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,skip,skip,skip,형의 저금액이 동생의 저금액의 2배가 되는 것은 몇 개월 후인가요?,4개월 후,용돈
3,B,유사문제1,"현재 누나의 저금통에는 8000원, 동생의 저금통에는 2000원이 들어 있다. 앞으로 매달 누나는 2500원씩, 동생은 1500원씩 저축을 한다고 할 때, 몇 개월 후에 누나의 저금액이 동생의 저금액의 2배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생의 저금액
② 누나의 저금액
③ 누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수
④ 누나의 저금액과 동생의 저금액의 합",누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,③,무엇을 x로 정했나요?,누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,"""x개월 후의 누나의 저금액과 동생의 저금액"" 을 각각 x를 사용한 식으로 표현해보자
① 누나의 저금액
② 동생의 저금액","8000+2500x,2000+1500x","""누나의 저금액이 동생의 저금액의 2배가 된다"" 를 식으로 표현해보자",8000+2500x=2(2000+1500x),4단계에서 세운 방정식을 풀어봅시다.,[ 8000+2500x=2(2000+1500x) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,8000+2500x=4000+3000x,"distributive,combine_like_terms",[ 500x=4000 ] 이 식에서 x값을 구하면 얼마인가요?,x=8,divide_coefficient,skip,skip,skip,누나의 저금액이 동생의 저금액의 2배가 되는 것은 몇 개월 후인가요?,8개월 후,용돈
3,C,본문제,"올해 아버지의 나이는 아들의 나이의 4배이다. 5년 후 아버지의 나이가 아들의 나이의 3배가 된다고 할 때, 올해 아들의 나이를 구하시오.","구해야하는 것은 무엇인가요?
① 올해 아들의 나이
② 올해 아버지의 나이
③ 아버지의 나이와 아들의 나이의 합
④ 아버지의 나이와 아들의 나이의 차",올해 아들의 나이,①,무엇을 x로 정했나요?,올해 아들의 나이,"""올해 아들의 나이가 x살 일때, 올해 아버지의 나이"" 를 x를 사용한 식으로 표현해보자",4x,"""5년 후 아버지의 나이가 아들의 나이의 3배가 된다"" 를 식으로 표현해 보자",4x+5=3(x+5),4단계에서 세운 방정식을 풀어봅시다.,[ 4x+5=3(x+5) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,4x+5=3x+15,"distributive,combine_like_terms","[ 4x+5=3x+15 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=10,"move_term,combine_like_terms",skip,skip,skip,올해 아들의 나이는 몇 살인가요?,10살,가족
3,C,유사문제1,"올해 어머니의 나이는 딸의 나이의 4배이다. 6년 후 어머니의 나이가 딸의 나이의 3배가 된다고 할 때, 올해 딸의 나이를 구하시오.","구해야하는 것은 무엇인가요?
① 어머니의 나이와 딸의 나이의 합
② 어머니의 나이와 딸의 나이의 차
③ 올해 딸의 나이
④ 올해 어머니의 나이",올해 딸의 나이,③,무엇을 x로 정했나요?,올해 딸의 나이,"""올해 딸의 나이가 x살 일때, 올해 어머니의 나이"" 를 x를 사용한 식으로 표현해보자",4x,"""6년 후 어머니의 나이가 딸의 나이의 3배가 된다"" 를 식으로 표현해보자",4x+6=3(x+6),4단계에서 세운 방정식을 풀어봅시다.,[ 4x+6=3(x+6) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,4x+6=3x+18,"distributive,combine_like_terms","[ 4x+6=3x+18 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=12,"move_term,combine_like_terms",skip,skip,skip,올해 딸의 나이는 몇 살인가요?,12살,가족
