단계,유형,type,문제 텍스트,1/6문제,1/6정답,1/6선택정답,2/6문제,2/6정답,3/6문제,3/6정답,4/6문제,4/6정답,5/6문제,5/6정답,6/6문제,6/6정답,keyword,problemPrinciple,problemStrategy
2,A,본문제,"형과 동생은 우표를 각각 16장, 12장 가지고 있다. 형이 동생에게 몇 장의 우표를 주면 동생이 가진 우표 수가 형이 가진 우표 수의 3배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 형이 동생에게 주는 우표 개수
② 동생이 형에게 주는 우표 개수
③ 형이 가진 우표 개수
④ 동생이 가진 우표 개수",형이 동생에게 주는 우표 개수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,형이 동생에게 주는 우표 개수,"형이 동생에게 주는 우표의 개수가 x장일 때, “형이 가진 우표 개수”와 “동생이 가진 우표 개수”를 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 형이 가진 우표 개수
② 동생이 가진 우표 개수","16-x,
12+x","""동생이 가진 우표(12+x)가 형이 가진 우표(16-x)의 3배가 된다."" 이를 방정식으로 표현해보자.",12+x=3(16-x),4단계에서 세운 방정식의 해를 구해봅시다.,x=9,형이 동생에게 준 우표는 몇 장인가요?,9장,선물,물건 주고 받기,물건을 주고 받을때 개수 변화를 생각해보자
2,A,유사문제1,"누나와 동생은 구슬을 각각 20개, 8개 가지고 있다. 누나가 동생에게 몇 개의 구슬을 주면 동생이 가진 구슬 수가 누나가 가진 구슬 수의 3배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생이 누나에게 주는 구슬 개수
② 누나가 동생에게 주는 구슬 개수
③ 동생이 가진 구슬 개수
④ 누나가 가진 구슬 개수",누나가 동생에게 주는 구슬 개수,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,누나가 동생에게 주는 구슬 개수,"누나가 동생에게 주는 구슬의 개수가 x개일 때, “누나가 가진 구슬 개수”와 “동생이 가진 구슬 개수”를 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 누나가 가진 구슬 개수
② 동생이 가진 구슬 개수","20-x,
8+x","""동생이 가진 구슬(8+x)이 누나가 가진 구슬(20-x)의 3배가 된다."" 이를 방정식으로 표현해보자.",8+x=3(20-x),4단계에서 세운 방정식의 해를 구해봅시다.,x=13,누나가 동생에게 준 구슬은 몇 개인가요?,13개,선물,물건 주고 받기,물건을 주고 받을때 개수 변화를 생각해보자
2,B,본문제,"올해 어머니의 나이는 40살이고, 아들의 나이는 8살이다. 어머니의 나이가 아들의 나이의 세 배가 되는 때는 몇 년 후인지 구하시오.","구해야하는 것은 무엇인가요?
① 어머니의 나이가 아들의 나이의 세 배가 되는 데 걸리는 기간
② 어머니의 나이와 아들의 나이의 차
③ 어머니의 나이
④ 아들의 나이",어머니의 나이가 아들의 나이의 세 배가 되는 데 걸리는 기간,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,어머니의 나이가 아들의 나이의 세 배가 되는 데 걸리는 기간,"어머니의 나이가 아들의 나이의 세 배가 되는 데 걸리는 기간을 x년이라고 할 때, “x년 후 어머니의 나이”와 “x년 후 아들의 나이”를 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 어머니의 나이
② 아들의 나이","40+x,
8+x","""x년 후 어머니의 나이(40+x)가 아들의 나이(8+x)의 3배가 된다."" 이를 방정식으로 표현해보자.",40+x=3(8+x),4단계에서 세운 방정식의 해를 구해봅시다.,x=8,어머니의 나이가 아들의 나이의 세 배가 되는 때는 몇 년 후인가요?,8년,나이,나이 계산,현재 나이와 미래 나이를 구분해서 정리해보자
2,B,유사문제1,"현재 아버지의 나이는 45살이고, 딸의 나이는 9살이다. 아버지의 나이가 딸의 나이의 네 배가 되는 때는 몇 년 후인지 구하시오.","구해야하는 것은 무엇인가요?
① 딸의 나이
② 아버지의 나이
③ 아버지의 나이와 딸의 나이의 합
④ 아버지의 나이가 딸의 나이의 네 배가 되는 데 걸리는 기간",아버지의 나이가 딸의 나이의 네 배가 되는 데 걸리는 기간,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,아버지의 나이가 딸의 나이의 네 배가 되는 데 걸리는 기간,"아버지의 나이가 딸의 나이의 네 배가 되는 데 걸리는 기간을 x년이라고 할 때, “x년 후 아버지의 나이”와 “x년 후 딸의 나이”를 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 아버지의 나이
② 딸의 나이","45+x,
9+x","""x년 후 아버지의 나이(45+x)가 딸의 나이(9+x)의 4배가 된다."" 이를 방정식으로 표현해보자.",45+x=4(9+x),4단계에서 세운 방정식의 해를 구해봅시다.,x=3,아버지의 나이가 딸의 나이의 네 배가 되는 때는 몇 년 후인가요?,3년,나이,나이 계산,현재 나이와 미래 나이를 구분해서 정리해보자
2,C,본문제,"일의 자릿수가 8인 두 자리 자연수가 있다. 이 자연수는 각 자릿수의 합의 4배와 같을 때, 이 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 자리 자연수의 십의 자리 숫자
② 두 자리 자연수의 일의 자리 숫자
③ 일의 자리가 8인 두 자리 자연수
④ 자연수",일의 자리가 8인 두 자리 자연수,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,일의 자리가 8인 두 자리 자연수의 십의 자리 숫자,"""일의 자리 숫자가 8이고 십의 자리 숫자가 x인 두 자리 자연수""를 식으로 표현해보자.",10x+8,"""두 자리 자연수(10x+8)는 십의 자리 숫자(x)와 일의 자리 숫자(8)의 합의 4배와 같다."" 이를 방정식으로 표현해보자.",10x+8=4(x+8),4단계에서 세운 방정식의 해를 구해봅시다.,x=4,5단계에서 구한 x의 값은 십의 자리 숫자입니다. 일의 자리 숫자는 8입니다. 처음 두 자리 자연수를 구해봅시다.,48,자연수,두 자리 자연수 표현,"십의 자리 숫자가 x, 일의 자리 숫자가 8인 자연수는 ""10x + 8"" 로 나타내보자"
2,C,유사문제1,"일의 자릿수가 6인 두 자리의 자연수가 있다. 이 자연수는 각 자릿수의 합의 4배와 같을 때, 이 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 일의 자리가 6인 두 자리 자연수
② 두 자리 자연수의 일의 자리 숫자
③ 두 자리 자연수의 십의 자리 숫자
④ 자연수",일의 자리가 6인 두 자리 자연수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,일의 자리가 6인 두 자리 자연수의 십의 자리 숫자,"""일의 자리 숫자가 6이고 십의 자리 숫자가 x인 두 자리 자연수""를 식으로 표현해보자.",10x+6,"""두 자리 자연수(10x+6)는 십의 자리 숫자(x)와 일의 자리 숫자(6)의 합의 4배와 같다."" 이를 방정식으로 표현해보자.",10x+6=4(x+6),4단계에서 세운 방정식의 해를 구해봅시다.,x=3,5단계에서 구한 x의 값은 십의 자리 숫자입니다. 일의 자리 숫자는 6입니다. 처음 두 자리 자연수를 구해봅시다.,36,자연수,두 자리 자연수 표현,"십의 자리 숫자가 x, 일의 자리 숫자가 6인 자연수는 ""10x + 6"" 으로 나타내보자"
2,D,본문제,"연속하는 두 자연수의 합이 71일 때, 두 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 자연수
② 연속하는 두 자연수
③ 연속하는 두 자연수의 합
④ 연속하는 두 자연수의 차",연속하는 두 자연수,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,연속하는 두 자연수 중 작은 자연수,"""연속하는 두 자연수 중 작은 자연수를 x라고 할 때, 큰 자연수""를 식으로 표현해보자.",x+1,"""연속하는 두 자연수 중 작은 자연수(x)와 큰 자연수(x+1)의 합이 71이다."" 이를 방정식으로 표현해보자.",x+x+1=71,4단계에서 세운 방정식의 해를 구해봅시다.,x=35,5단계에서 구한 x의 값은 작은 자연수입니다. 큰 자연수는 작은 자연수보다 1만큼 큽니다. 두 자연수를 각각 구해봅시다. (답 2개),"35, 36",연속,연속한 자연수 표현,"작은 수를 x로 두고 다음 자연수는 ""x + 1"" 가 된다"
2,D,유사문제1,"연속하는 두 자연수의 합이 57일 때, 두 자연수를 구하시오.","구해야하는 것은 무엇인가요?
① 연속하는 두 자연수의 합
② 연속하는 두 자연수의 차
③ 연속하는 두 자연수
④ 자연수",연속하는 두 자연수,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,연속하는 두 자연수 중 작은 자연수,"""연속하는 두 자연수 중 작은 자연수를 x라고 할 때, 큰 자연수""를 식으로 표현해보자.",x+1,"""연속하는 두 자연수 중 작은 자연수(x)와 큰 자연수(x+1)의 합이 57이다."" 이를 방정식으로 표현해보자.",x+x+1=57,4단계에서 세운 방정식의 해를 구해봅시다.,x=28,5단계에서 구한 x의 값은 작은 자연수입니다. 큰 자연수는 작은 자연수보다 1만큼 큽니다. 두 자연수를 각각 구해봅시다. (답 2개),"28, 29",연속,연속한 자연수 표현,"작은 수를 x로 두고 다음 자연수는 ""x + 1"" 가 된다"
2,E,본문제,"가로의 길이가 세로의 길이보다 17cm 더 긴 직사각형이 있다. 이 직사각형의 둘레의 길이가 162cm일 때, 이 직사각형의 세로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 둘레의 길이
② 직사각형의 가로의 길이
③ 직사각형의 세로의 길이
④ 직사각형의 넓이",직사각형의 세로의 길이,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,직사각형의 세로의 길이,"""직사각형의 세로의 길이를 x cm라고 할 때, 세로보다 17 cm 더 긴 가로의 길이""를 식으로 표현해보자.",x+17,"""직사각형의 둘레의 길이가 162 cm이면 가로와 세로의 길이의 합은 81 cm이다. 세로의 길이(x)와 가로의 길이(x+17)의 합이 81이다."" 이를 방정식으로 표현해보자.",x+x+17=81,4단계에서 세운 방정식의 해를 구해봅시다.,x=32,직사각형의 세로의 길이는 몇 cm인가요?,32cm,도형,직사각형의 둘레의 길이,"""직사각형의 둘레의 길이=2(가로의 길이 + 세로의 길이)"" 이다."
2,E,유사문제1,"가로의 길이가 세로의 길이보다 12cm 더 긴 직사각형이 있다. 이 직사각형의 둘레의 길이가 104cm일 때, 이 직사각형의 세로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 넓이
② 직사각형의 둘레의 길이
③ 직사각형의 가로의 길이
④ 직사각형의 세로의 길이",직사각형의 세로의 길이,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,직사각형의 세로의 길이,"""직사각형의 세로의 길이를 x cm라고 할 때, 세로보다 12 cm 더 긴 가로의 길이""를 식으로 표현해보자.",x+12,"""직사각형의 둘레의 길이가 104 cm이면 가로와 세로의 길이의 합은 52 cm이다. 세로의 길이(x)와 가로의 길이(x+12)의 합이 52이다."" 이를 방정식으로 표현해보자.",x+x+12=52,4단계에서 세운 방정식의 해를 구해봅시다.,x=20,직사각형의 세로의 길이는 몇 cm인가요?,20cm,도형,직사각형의 둘레의 길이,"""직사각형의 둘레의 길이=2(가로의 길이 + 세로의 길이)"" 이다."
3,A,본문제,수민이는 농구 시합에서 2점 슛을 3점 슛의 3배보다 1개 더 많이 넣어 총 38점을 득점하였다. 수민이가 넣은 3점 슛은 몇 개인지 구하시오.,"구해야하는 것은 무엇인가요?
① 2점 슛의 개수
② 3점 슛의 개수
③ 전체 슛의 개수
④ 총 득점",3점 슛의 개수,②,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,3점 슛의 개수,“2점 슛을 3점 슛의 3배보다 1개 더 많이 넣었다”를 이용하여 2점 슛의 개수를 3점 슛의 개수(x)를 사용한 식으로 표현해보자.,3x+1,"""3점 슛 x개의 점수와 2점 슛 (3x+1)개의 점수의 합이 38점이다."" 이를 방정식으로 표현해보자.",3x+2(3x+1)=38,4단계에서 세운 방정식의 해를 구해봅시다.,x=4,수민이가 넣은 3점 슛은 몇 개인가요?,4개,농구,농구 경기의 득점 계산,"농구 득점은 ""슛의 개수 × 슛 1개의 점수"" 로 구해보자"
3,A,유사문제1,서윤이는 농구 시합에서 2점 슛을 3점 슛의 2배보다 2개 더 많이 넣어 총 32점을 득점하였다. 서윤이가 넣은 3점 슛은 몇 개인지 구하시오.,"구해야하는 것은 무엇인가요?
① 전체 슛의 개수
② 총 득점
③ 2점 슛의 개수
④ 3점 슛의 개수",3점 슛의 개수,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,3점 슛의 개수,“2점 슛을 3점 슛의 2배보다 2개 더 많이 넣었다”를 이용하여 2점 슛의 개수를 3점 슛의 개수(x)를 사용한 식으로 표현해보자.,2x+2,"""3점 슛 x개의 점수와 2점 슛 (2x+2)개의 점수의 합이 32점이다."" 이를 방정식으로 표현해보자.",3x+2(2x+2)=32,4단계에서 세운 방정식의 해를 구해봅시다.,x=4,서윤이가 넣은 3점 슛의 개수는 몇 개인가요?,4개,농구,농구 경기의 득점 계산,"농구 득점은 ""슛의 개수 × 슛 1개의 점수"" 로 구해보자"
3,B,본문제,"현재 형의 저금통에는 10000원, 동생의 저금통에는 3000원이 들어 있다. 앞으로 매달 형은 3000원씩, 동생은 2000원씩 저축을 한다고 할 때, 몇 개월 후에 형의 저금액이 동생의 저금액의 2배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수
② 형의 저금액과 동생의 저금액의 합
③ 동생의 저금액
④ 형의 저금액",형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,형의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,"“x개월 후 형의 저금액”과 “x개월 후 동생의 저금액”을 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 형의 저금액
② 동생의 저금액","10000+3000x,
3000+2000x","""x개월 후 형의 저금액(10000+3000x)이 동생의 저금액(3000+2000x)의 2배가 된다."" 이를 방정식으로 표현해보자.",10000+3000x=2(3000+2000x),4단계에서 세운 방정식의 해를 구해봅시다.,x=4,형의 저금액이 동생의 저금액의 2배가 되는 것은 몇 개월 후인가요?,4개월 후,용돈,저금액,"x개월 동안 저금한 저금액은 ""매달 저금액 × 개월수"" 로 구해보자"
3,B,유사문제1,"현재 누나의 저금통에는 8000원, 동생의 저금통에는 2000원이 들어 있다. 앞으로 매달 누나는 2500원씩, 동생은 1500원씩 저축을 한다고 할 때, 몇 개월 후에 누나의 저금액이 동생의 저금액의 2배가 되는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생의 저금액
② 누나의 저금액
③ 누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수
④ 누나의 저금액과 동생의 저금액의 합",누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,누나의 저금액이 동생의 저금액의 2배가 되는데 걸리는 개월 수,"“x개월 후 누나의 저금액”과 “x개월 후 동생의 저금액”을 각각 x를 사용한 식으로 표현해보자. (답 2개)
① 누나의 저금액
② 동생의 저금액","8000+2500x,
2000+1500x","""x개월 후 누나의 저금액(8000+2500x)이 동생의 저금액(2000+1500x)의 2배가 된다."" 이를 방정식으로 표현해보자.",8000+2500x=2(2000+1500x),4단계에서 세운 방정식의 해를 구해봅시다.,x=8,누나의 저금액이 동생의 저금액의 2배가 되는 것은 몇 개월 후인가요?,8개월 후,용돈,저금액,"x개월 동안 저금한 저금액은 ""매달 저금액 × 개월수"" 로 구해보자"
3,C,본문제,"올해 아버지의 나이는 아들의 나이의 4배이다. 5년 후 아버지의 나이가 아들의 나이의 3배가 된다고 할 때, 올해 아들의 나이를 구하시오.","구해야하는 것은 무엇인가요?
① 올해 아들의 나이
② 올해 아버지의 나이
③ 아버지의 나이와 아들의 나이의 합
④ 아버지의 나이와 아들의 나이의 차",올해 아들의 나이,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,올해 아들의 나이,"""올해 아들의 나이가 x살일 때, 올해 아버지의 나이""를 아들의 나이(x)를 사용한 식으로 표현해보자.",4x,"""올해 아들의 나이는 (x)살이고 아버지의 나이는 (4x)살이다. 5년 후 아버지의 나이가 아들의 나이의 3배가 된다."" 이를 방정식으로 표현해보자.",4x+5=3(x+5),4단계에서 세운 방정식의 해를 구해봅시다.,x=10,올해 아들의 나이는 몇 살인가요?,10살,가족,나이 계산,현재 나이와 미래 나이를 구분해서 정리해보자
3,C,유사문제1,"올해 어머니의 나이는 딸의 나이의 4배이다. 6년 후 어머니의 나이가 딸의 나이의 3배가 된다고 할 때, 올해 딸의 나이를 구하시오.","구해야하는 것은 무엇인가요?
① 어머니의 나이와 딸의 나이의 합
② 어머니의 나이와 딸의 나이의 차
③ 올해 딸의 나이
④ 올해 어머니의 나이",올해 딸의 나이,③,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,올해 딸의 나이,"""올해 딸의 나이가 x살일 때, 올해 어머니의 나이""를 딸의 나이(x)를 사용한 식으로 표현해보자.",4x,"""올해 딸의 나이는 (x)살이고 어머니의 나이는 (4x)살이다. 6년 후 어머니의 나이가 딸의 나이의 3배가 된다."" 이를 방정식으로 표현해보자.",4x+6=3(x+6),4단계에서 세운 방정식의 해를 구해봅시다.,x=12,올해 딸의 나이는 몇 살인가요?,12살,가족,나이 계산,현재 나이와 미래 나이를 구분해서 정리해보자
3,D,본문제,"연속하는 두 홀수의 합이 36일 때, 두 홀수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 홀수
② 두 홀수의 합
③ 두 홀수의 차
④ 두 홀수의 곱",두 홀수,①,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,두 홀수 중 작은 수,"""연속하는 두 홀수 중 작은 홀수가 x일 때, 큰 홀수""를 작은 홀수(x)를 사용한 식으로 표현해보자.",x+2,"""연속하는 두 홀수 중 작은 홀수(x)와 큰 홀수(x+2)의 합이 36이다."" 이를 방정식으로 표현해보자.",x+x+2=36,4단계에서 세운 방정식의 해를 구해봅시다.,x=17,5단계에서 구한 x의 값은 작은 홀수입니다. 큰 홀수는 작은 홀수보다 2만큼 큽니다. 두 홀수를 각각 구해봅시다. (답 2개),"17, 19",홀수,연속한 홀수 표현,"작은 수를 x로 두고 다음 홀수는 ""x + 2"" 가 된다"
3,D,유사문제1,"연속하는 두 홀수의 합이 48일 때, 두 홀수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 홀수의 곱
② 두 홀수의 합
③ 두 홀수의 차
④ 두 홀수",두 홀수,④,방정식을 쉽게 만들려면 무엇을 x로 정하면 좋을까요?,두 홀수 중 작은 수,"""연속하는 두 홀수 중 작은 홀수가 x일 때, 큰 홀수""를 작은 홀수(x)를 사용한 식으로 표현해보자.",x+2,"""연속하는 두 홀수 중 작은 홀수(x)와 큰 홀수(x+2)의 합이 48이다."" 이를 방정식으로 표현해보자.",x+x+2=48,4단계에서 세운 방정식의 해를 구해봅시다.,x=23,5단계에서 구한 x의 값은 작은 홀수입니다. 큰 홀수는 작은 홀수보다 2만큼 큽니다. 두 홀수를 각각 구해봅시다. (답 2개),"23, 25",홀수,연속한 홀수 표현,"작은 수를 x로 두고 다음 홀수는 ""x + 2"" 가 된다"
