단계,유형,type,단계_순서,힌트내용
1,D,본문제,3,문제의 조건 '[RED: 한 자루에 800원인 볼펜 x개의 가격]을 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,D,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,D,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,D,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,D,유사문제1,1,문제에서 구하려는 것은 [RED: (연필)은 몇 자루인가?]
1,D,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,D,유사문제1,3,문제의 조건 '[RED: 한 자루에 700원인 연필 x개의 가격]을 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,D,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,D,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,D,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,D,유사문제2,1,문제에서 구하려는 것은 [RED: (공책)은 몇 권인가?]
1,D,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,D,유사문제2,3,문제의 조건 '[RED: 한 권에 500원인 공책 x권의 가격]을 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,D,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,D,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
1,D,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,E,본문제,1,문제에서 구하려는 것은 [RED: (소)는 몇 마리인가?]
1,E,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,E,본문제,3,문제의 조건 '[RED: 소가 x마리일때 닭은 몇 마리]인지 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,E,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,E,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
1,E,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,E,유사문제1,1,문제에서 구하려는 것은 [RED: (양)은 몇 마리인가?]
1,E,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,E,유사문제1,3,문제의 조건 '[RED: 양이 x마리일때 오리는 몇 마리]인지 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,E,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,E,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
1,E,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
1,E,유사문제2,1,문제에서 구하려는 것은 [RED: (토끼)는 몇 마리인가?]
1,E,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
1,E,유사문제2,3,문제의 조건 '[RED: 토끼가 x마리일때 닭은 몇 마리]인지 x를 사용하여' 식으로 바꿔볼 수 있을까요?
1,E,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
1,E,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
1,E,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,A,본문제,1,문제에서 구하려는 것은 [RED: (형)이 (동생)에게 주는 우표는 몇 장인가?]
2,A,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,A,본문제,3,"문제의 조건 '[RED: 형이 동생에게 우표를 x장 줄 때, 형이 가진 우표 개수와 동생이 가진 우표 개수]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,A,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,A,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,A,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,A,유사문제1,1,문제에서 구하려는 것은 [RED: (누나)가 (남동생)에게 주는 구슬은 몇 개인가?]
2,A,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,A,유사문제1,3,"문제의 조건 '[RED: 누나가 남동생에게 구슬을 x개 줄 때, 누나가 가진 구슬의 개수와 남동생이 가진 구슬의 개수]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,A,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,A,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,A,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,A,유사문제2,1,문제에서 구하려는 것은 [RED: (민수)가 (지우)에게 주는 스티커는 몇 장인가?]
2,A,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,A,유사문제2,3,"문제의 조건 '[RED: 민수가 지우에게 스티커를 x장 줄 때, 민수가 가진 스티커 개수와 지우가 가진 스티커 개수]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,A,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,A,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,A,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,B,본문제,1,문제에서 구하려는 것은 [RED: (어머니) 나이가 (민호) 나이의 두배가 되는 것은 몇 년 후인가?]
2,B,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,B,본문제,3,문제의 조건 '[RED: x년 후의 어머니 나이와 민호 나이]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?
2,B,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,B,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,B,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,B,유사문제1,1,문제에서 구하려는 것은 [RED: (아버지) 나이가 (지수) 나이의 두배가 되는 것은 몇 년 후인가?]
2,B,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,B,유사문제1,3,문제의 조건 '[RED: x년 후의 아버지 나이와 지수 나이]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?
2,B,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,B,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,B,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,B,유사문제2,1,문제에서 구하려는 것은 [RED: (선생님) 나이가 (학생) 나이의 두배가 되는 것은 몇 년 후인가?]
2,B,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,B,유사문제2,3,문제의 조건 '[RED: x년 후의 선생님의 나이와 학생의 나이]를 각각 x를 사용하여' 식으로 바꿔볼 수 있을까요?
2,B,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,B,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,B,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,C,본문제,1,문제에서 구하려는 것은 [RED: (두 자리) 자연수는 무엇인가?]
2,C,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,C,본문제,3,"문제의 조건 '[RED: 십의 자리수가 x, 일의 자리수가 8인 두 자리 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,C,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,C,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,C,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,C,유사문제1,1,문제에서 구하려는 것은 [RED: (두 자리) 자연수는 무엇인가?]
2,C,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,C,유사문제1,3,"문제의 조건 '[RED: 십의 자리수가 x, 일의 자리수가 6인 두 자리 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,C,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,C,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,C,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,C,유사문제2,1,문제에서 구하려는 것은 [RED: (두 자리) 자연수는 무엇인가?]
2,C,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,C,유사문제2,3,"문제의 조건 '[RED: 십의 자리수가 x, 일의 자리수가 4인 두 자리 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,C,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,C,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,C,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,D,본문제,1,문제에서 구하려는 것은 [RED: 연속하는 두 (자연수)는 무엇인가?]
2,D,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,D,본문제,3,"문제의 조건 '[RED: 연속하는 두 자연수 중 작은 자연수가 x일때, 큰 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,D,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,D,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
2,D,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,D,유사문제1,1,문제에서 구하려는 것은 [RED: 연속하는 두 (자연수)는 무엇인가?]
2,D,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,D,유사문제1,3,"문제의 조건 '[RED: 연속하는 두 자연수 중 작은 자연수가 x일때, 큰 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,D,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,D,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
2,D,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,D,유사문제2,1,문제에서 구하려는 것은 [RED: 연속하는 두 (자연수)는 무엇인가?]
2,D,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,D,유사문제2,3,"문제의 조건 '[RED: 연속하는 두 자연수 중 작은 자연수가 x일때, 큰 자연수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,D,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,D,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
2,D,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,E,본문제,1,문제에서 구하려는 것은 [RED: 직사각형의 (세로)의 길이는 몇 cm인가?]
2,E,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,E,본문제,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이보다 17cm 더 길때, 가로의 길이]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,E,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,E,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,E,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,E,유사문제1,1,문제에서 구하려는 것은 [RED: 직사각형의 (세로)의 길이는 몇 cm인가?]
2,E,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,E,유사문제1,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이보다 12cm 더 길때, 가로의 길이]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,E,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,E,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,E,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
2,E,유사문제2,1,문제에서 구하려는 것은 [RED: 직사각형의 (세로)의 길이는 몇 cm인가?]
2,E,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
2,E,유사문제2,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이보다 8cm 더 길때, 가로의 길이]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
2,E,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
2,E,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
2,E,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,A,본문제,1,문제에서 구하려는 것은 [RED: 수민이가 넣은 (3점) 슛은 몇 개인가?]
3,A,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,A,본문제,3,문제의 조건 '[RED: 2점 슛을 3점 슛(x)의 3배보다 1개 더 많이 넣었을때 2점 슛의 개수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
3,A,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,A,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,A,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,A,유사문제1,1,문제에서 구하려는 것은 [RED: 서윤이가 넣은 (3점) 슛은 몇 개인가?]
3,A,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,A,유사문제1,3,문제의 조건 '[RED: 2점 슛을 3점 슛(x)의 2배보다 2개 더 많이 넣었을때 2점 슛의 개수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
3,A,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,A,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,A,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,A,유사문제2,1,문제에서 구하려는 것은 [RED: 민지가 넣은 (3점) 슛은 몇 개인가?]
3,A,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,A,유사문제2,3,문제의 조건 '[RED: 2점 슛을 3점 슛(x)의 2배보다 1개 더 많이 넣었을때 2점 슛의 개수]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?
3,A,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,A,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,A,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,B,본문제,1,문제에서 구하려는 것은 [RED: 몇 개월 후에 (광진)이의 저금액이 (동생)의 저금액의 2배가 되는가?]
3,B,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,B,본문제,3,문제의 조건 '[RED: x개월 후 광진이의 저금액과 동생의 저금액]을 각각 x를 사용한' 식으로 바꿔볼 수 있을까요?
3,B,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,B,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,B,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,B,유사문제1,1,문제에서 구하려는 것은 [RED: 몇 개월 후에 (지훈)이의 저금액이 (동생)의 저금액의 2배가 되는가?]
3,B,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,B,유사문제1,3,문제의 조건 '[RED: x개월 후 지훈이의 저금액과 동생의 저금액]을 각각 x를 사용한' 식으로 바꿔볼 수 있을까요?
3,B,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,B,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,B,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,B,유사문제2,1,문제에서 구하려는 것은 [RED: 몇 개월 후에 (예진)이의 저금액이 (동생)의 저금액의 2배가 되는가?]
3,B,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,B,유사문제2,3,문제의 조건 '[RED: x개월 후 예진이의 저금액과 동생의 저금액]을 각각 x를 사용한' 식으로 바꿔볼 수 있을까요?
3,B,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,B,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,B,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,C,본문제,1,문제에서 구하려는 것은 [RED: 올해 (아들)의 나이는 몇 살인가?]
3,C,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,C,본문제,3,"문제의 조건 '[RED: 올해 아들의 나이가 x살 일때, 올해 아버지의 나이]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,C,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,C,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,C,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,C,유사문제1,1,문제에서 구하려는 것은 [RED: 올해 (딸)의 나이는 몇 살인가?]
3,C,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,C,유사문제1,3,"문제의 조건 '[RED: 올해 딸의 나이가 x살 일때, 올해 어머니의 나이]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,C,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,C,유사문제1,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,C,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,C,유사문제2,1,문제에서 구하려는 것은 [RED: 올해 (아들)의 나이는 몇 살인가?]
3,C,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,C,유사문제2,3,"문제의 조건 '[RED: 올해 아들의 나이가 x살 일때, 올해 아버지의 나이]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,C,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,C,유사문제2,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
3,C,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,D,본문제,1,문제에서 구하려는 것은 [RED: 연속하는 두 (홀수)는 무엇인가?]
3,D,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,D,본문제,3,"문제의 조건 '[RED: 연속한 홀수 중 작은 홀수가 x일때, 큰 홀수]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,D,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,D,본문제,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
3,D,본문제,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,D,유사문제1,1,문제에서 구하려는 것은 [RED: 연속하는 두 (홀수)는 무엇인가?]
3,D,유사문제1,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,D,유사문제1,3,"문제의 조건 '[RED: 연속한 홀수 중 작은 홀수가 x일때, 큰 홀수]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,D,유사문제1,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,D,유사문제1,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
3,D,유사문제1,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,D,유사문제2,1,문제에서 구하려는 것은 [RED: 연속하는 두 (홀수)는 무엇인가?]
3,D,유사문제2,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,D,유사문제2,3,"문제의 조건 '[RED: 연속한 홀수 중 작은 홀수가 x일때, 큰 홀수]를 x를 사용한' 식으로 바꿔볼 수 있을까요?"
3,D,유사문제2,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,D,유사문제2,5,"[RED: x]를 포함한 항은 좌변으로, 상수항은 우변으로 각각 이항하여 정리합니다."
3,D,유사문제2,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,E,본문제,1,문제에서 구하려는 것은 [RED: 직사각형의 (가로)의 길이는 몇 cm인가?]
3,E,본문제,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,E,본문제,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이의 2배보다 4cm 더 짧을때, 가로의 길이]를 x를 사용하여' 식으로 바꿔볼 수 있을까요?"
3,E,본문제,4,조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,E,본문제,5,[RED: 분배법칙]을 이용해 괄호를 풀어주세요.
