단계,유형,단계_순서,힌트내용
3,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
3,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,B,1,문제에서 구하려는 [RED: 몇 개월 후에(광진이)의 저금액이 (동생)의 저금액의 2배가 되는가?]은 무엇인가요?
3,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,B,3,문제의 조건 '[RED: x개월 후 광진이의 저금액과 동생의 저금액을 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
3,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
3,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,C,1,문제에서 구하려는 [RED: 올해 (아들)의 나이]은 무엇인가요?
3,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,C,3,"문제의 조건 '[RED: 올해 아들의 나이가 x살 일때, 올해 아버지의 나이를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
3,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
3,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,D,1,문제에서 구하려는 [RED: 연속하는 두 (홀수)는 무엇인가?]은 무엇인가요?
3,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,D,3,"문제의 조건 '[RED: 연속한 홀수 중 작은 홀수가 x일때, 큰 홀수를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
3,D,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
3,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
3,E,1,문제에서 구하려는 [RED: 직사각형의 (가로)의 길이는 몇 m인가?]은 무엇인가요?
3,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
3,E,3,"문제의 조건 '[RED: 가로의 길이가 세로(x)의 길이의 2배보다 4cm 더 짧을때, 가로의 길이를 x를 사용하여 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
3,E,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
3,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
3,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
4,A,1,문제에서 구하려는 [RED: 십의 자리의 숫자가 (3)인 (두자리) 자연수는 무엇인가?]은 무엇인가요?
4,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
4,A,3,"문제의 조건 '[RED: 십의 자리의 숫자가 3, 일의 자리 숫자가 x인 처음 수를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
4,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
4,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
4,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
4,B,1,문제에서 구하려는 [RED: 직사각형의 (세로)의 길이를 몇 cm 늘렸는가?]은 무엇인가요?
4,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
4,B,3,"문제의 조건 '[RED: 가로의 길이를 4cm, 세로의 길이를 6cm 늘린 직사각형의 넓이를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
4,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
4,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
4,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
4,C,1,문제에서 구하려는 [RED: (집)에서 (학교)까지 (거리)는 몇 km인가?]은 무엇인가요?
4,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
4,C,3,공식'[RED:시간=거리/속력]'을 이용해 문제의 조건 '[RED: 시속 2km로 거리 x 만큼 갈 때와 시속 3km로 거리 x만큼 올때 걸린 시간을 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
4,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
4,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
4,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
4,D,1,문제에서 구하려는 [RED: (집)에서 (공원)까지 (거리)는 몇 km인가?]은 무엇인가요?
4,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
4,D,3,공식'[RED:시간=거리/속력]'을 이용해 문제의 조건 '[RED: 시속 4km로 거리 x 만큼 갈 때와 시속 3km로 거리 x만큼 올때 걸린 시간을 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?
4,D,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
4,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
4,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
4,E,1,문제에서 구하려는 [RED: 시속 6km로 달린 (거리)는 몇 km인가?]은 무엇인가요?
4,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
4,E,3,"문제의 조건 '[RED: 시속 6km로 달린 거리를 x라고 할 때, 시속 5km로 걸은 거리를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
4,E,4,공식'[RED:시간=거리/속력]'을 이용해 전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
4,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
4,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
5,A,1,문제에서 구하려는 [RED: 사탕을 받은 (학생수)]은 무엇인가요?
5,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
5,A,3,"문제의 조건 '[RED: 학생수를 x라고 할 때, 사탕의 개수를 x를 사용하여 식으로 표현해보자""(답 2개)]'를 식으로 바꿔볼 수 있을까요?"
5,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
5,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
5,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
5,B,1,문제에서 구하려는 [RED: (집)과 (도서관) 사이의 (거리)는 몇 km인가?]은 무엇인가요?
5,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
5,B,3,"공식'[RED:시간=거리/속력]'을 이용해 문제의 조건 '[RED: 집과 도서관 사이의 거리를 x라고 할 때, 갈 때 걸린 시간과 올 때 걸린 시간을 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
5,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
5,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
5,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
5,C,1,문제에서 구하려는 [RED: 수련회에 참석한 (학생수)]은 무엇인가요?
5,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
5,C,3,"문제의 조건 '[RED: 수련회에 배정된 방의 개수를 x라고 할 때, 학생수를 x를 사용하여 식으로 표현해보자""(답 2개)]'를 식으로 바꿔볼 수 있을까요?"
5,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
5,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
5,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
5,D,1,문제에서 구하려는 [RED: 형이 집에서 출발한지 몇 분 후에 (동생)을 만나는가?]은 무엇인가요?
5,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
5,D,3,"문제의 조건 '[RED: 형이 출발하여 동생과 만날때까지 걸린 시간을 x시간 이라고 할때, 동생이 이동한 시간을 x를 사용하여 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
5,D,4,공식'[RED:거리=시간×속력]'을 이용해 전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
5,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
5,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
5,E,1,문제에서 구하려는 [RED: 지역 (C)에 살고 있는 (학생수)]은 무엇인가요?
5,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
5,E,3,"문제의 조건 '[RED: 전체 학생수를 x라 할때, 지역 A, 지역 B, 지역 C에 살고 있는 학생수를 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
5,E,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
5,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
5,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,A,1,문제에서 구하려는 [RED: 두 사람이 출발 후 다시 만날때 까지 걸린 (시간)]은 무엇인가요?
6,A,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,A,3,"공식'[RED:거리=시간×속력]'을 이용해 문제의 조건 '[RED: 두 사람이 출발 후 다시 만나는 데 걸린 시간을 x분이라 할때, 지호와 세은이가 이동한 거리를 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,A,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,A,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,A,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,B,1,문제에서 구하려는 [RED: 두 사람이 출발 후 만날때 까지 걸린 (시간)]은 무엇인가요?
6,B,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,B,3,"공식'[RED:거리=시간×속력]'을 이용해 문제의 조건 '[RED: 두 사람이 출발 후 만나는 데 걸린 시간을 x분이라 할때, 현주와 진수가 이동한 거리를 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,B,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,B,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,B,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,C,1,문제에서 구하려는 [RED: 기차의 (길이)]은 무엇인가요?
6,C,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,C,3,"공식'[RED:속력=거리/시간]'을 이용해 문제의 조건 '[RED: 기차의 길이를 x m라 할 때, 터널과 다리를 완전히 빠져나갈때 기차의 속력(초속)을 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,C,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,C,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,C,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,D,1,문제에서 구하려는 [RED: (올해) 1학년 (남학생)의 수]은 무엇인가요?
6,D,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,D,3,"문제의 조건 '[RED: 작년 1학년 남학생 수를 x라 할 때, 작년 여학생 수를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,D,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,D,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,D,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,E,1,문제에서 구하려는 [RED: (은지)가 일 한 날 수]은 무엇인가요?
6,E,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,E,3,"문제의 조건 '[RED: 은지가 일 한 날 수를 x라 할 때, 미희가 일 한 날 수를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,E,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,E,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,E,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,F,1,문제에서 구하려는 [RED: 두 사람의 장미꽃의 개수가 같아질때 까지 걸린 (시간)]은 무엇인가요?
6,F,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,F,3,"문제의 조건 '[RED: 두 사람의 장미꽃의 개수가 같아지는데 걸린 시간을 x분이라 할 때, 하민이와 민혁이가 동시에 만든 장미꽃의 개수를 각각 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,F,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,F,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,F,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
6,G,1,문제에서 구하려는 [RED: 상품의 (원가)]은 무엇인가요?
6,G,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
6,G,3,"문제의 조건 '[RED: 상품의 원가를 x원이라 할 때, 상품의 정가를 x를 사용한 식으로 표현해보자]'를 식으로 바꿔볼 수 있을까요?"
6,G,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
6,G,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
6,G,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
,,6,구한 [RED: x]값을 사용하여 최종 답을 확인해볼까요?
,,1,문제에서 구하려는 [RED: nan]은 무엇인가요?
,,2,구하려는 것을 [RED: x]라고 한다면 어떻게 표현할 수 있을까요?
,,3,문제의 조건 '[RED: nan]'를 식으로 바꿔볼 수 있을까요?
,,4,전체 조건을 만족하는 [RED: 방정식]은 어떻게 세울 수 있을까요?
,,5,세운 방정식을 풀기 위해 [RED: x]를 한쪽으로 모아볼까요?
